neuron_a_id, neuron_b_id, neuron_c_id, type
720575941515935747,720575941526812162,720575941564674560,SC
720575941515935747,720575941526812162,720575941555394049,SC
720575941515935747,720575941526812162,720575941555409921,SC
720575941515935747,720575941526812162,720575941486265862,SC
720575941515935747,720575941526812162,720575941534259210,SC
720575941515935747,720575941526812162,720575941431395854,SC
720575941515935747,720575941526812162,720575941614906387,SC
720575941515935747,720575941526812162,720575941467242518,SC
720575941515935747,720575941526812162,720575941526497817,SC
720575941515935747,720575941526812162,720575941554128411,SC
720575941515935747,720575941526812162,720575941431422712,BR
720575941515935747,720575941502187915,720575941614589715,BR
720575941515935747,720575941502187915,720575941438888927,BR
720575941515935747,720575941502187915,720575941439674943,BR
720575941515935747,720575941515207059,720575941486918541,BR
720575941515935747,720575941515207059,720575941491283150,BR
720575941515935747,720575941615509401,720575941491265742,BR
720575941515935747,720575941615509401,720575941439707103,BR
720575941515935747,720575941591302696,720575941486918541,BR
720575941515935747,720575941438719276,720575941658842136,BR
720575941515935747,720575941526812162,720575941554653185,VC
720575941515935747,720575941526812162,720575941525507074,VC
720575941515935747,720575941526812162,720575941544917509,VC
720575941515935747,720575941526812162,720575941572497928,VC
720575941515935747,720575941526812162,720575941469796363,VC
720575941515935747,720575941526812162,720575941613019155,VC
720575941515935747,720575941526812162,720575941447444500,VC
720575941515935747,720575941526812162,720575941543153693,VC
720575941515935747,720575941526812162,720575941475532830,VC
720575941515935747,720575941526812162,720575941556510756,VC
720575941515935747,720575941528486532,720575941565437959,VD
720575941515935747,720575941528486532,720575941572830473,VD
720575941515935747,720575941528486532,720575941508656656,VD
720575941515935747,720575941528486532,720575941657244696,VD
720575941515935747,720575941528486532,720575941507895074,VD
720575941515935747,720575941528486532,720575941593385253,VD
720575941515935747,720575941528486532,720575941594185511,VD
720575941515935747,720575941528486532,720575941444272810,VD
720575941515935747,720575941528486532,720575941610137005,VD
720575941515935747,720575941528486532,720575941407316142,VD
720575941515935747,720575941392172548,720575941466838102,FL
720575941515935747,720575941502187915,720575941535409642,FL
720575941515935747,720575941502187915,720575941404879216,FL
720575941515935747,720575941515207059,720575941566484839,FL
720575941515935747,720575941615509401,720575941531396555,FL
720575941515935747,720575941615509401,720575941466838102,FL
720575941515935747,720575941615509401,720575941655194841,FL
720575941515935747,720575941500039074,720575941466838102,FL
720575941515935747,720575941591302696,720575941578850393,FL
720575941515935747,720575941591302696,720575941477169514,FL
720575941515935747,720575941488740041,720575941483965693,CR
720575941515935747,720575941483965693,720575941488740041,CR
720575941559975951,720575941574753545,720575941542431580,CR
720575941559975951,720575941510499088,720575941592911400,CR
720575941559975951,720575941438427154,720575941656324944,CR
720575941559975951,720575941526640921,720575941610122058,CR
720575941559975951,720575941526640921,720575941681003453,CR
720575941559975951,720575941542830877,720575941584765918,CR
720575941559975951,720575941542830877,720575941519786679,CR
720575941559975951,720575941540147229,720575941507350306,CR
