neuron_a_id, neuron_b_id, neuron_c_id, type
720575940631199744,720575940648685444,720575940631141376,SC
720575940631199744,720575940648685444,720575940619064065,SC
720575940631199744,720575940648685444,720575940627286530,SC
720575940631199744,720575940648685444,720575940618947329,SC
720575940631199744,720575940648685444,720575940630409216,SC
720575940631199744,720575940648685444,720575940625328648,SC
720575940631199744,720575940648685444,720575940615651340,SC
720575940631199744,720575940648685444,720575940638022029,SC
720575940631199744,720575940648685444,720575940622037139,SC
720575940631199744,720575940648685444,720575940613620246,SC
720575940631199744,720575940648685444,720575940623725080,BR
720575940631199744,720575940620944006,720575940623725080,BR
720575940631199744,720575940629513478,720575940614979634,BR
720575940631199744,720575940617909643,720575940638245027,BR
720575940631199744,720575940617909643,720575940627990549,BR
720575940631199744,720575940628120744,720575940621773249,BR
720575940631199744,720575940628120744,720575940638245027,BR
720575940631199744,720575940629328172,720575940614979634,BR
720575940631199744,720575940634754222,720575940614979634,BR
720575940631199744,720575940631187004,720575940623725080,BR
720575940631199744,720575940648685444,720575940627203087,VC
720575940631199744,720575940648685444,720575940627145231,VC
720575940631199744,720575940648685444,720575940630703631,VC
720575940631199744,720575940648685444,720575940618414612,VC
720575940631199744,720575940648685444,720575940618596381,VC
720575940631199744,720575940648685444,720575940646626339,VC
720575940631199744,720575940648685444,720575940615044136,VC
720575940631199744,720575940648685444,720575940625942576,VC
720575940631199744,720575940648685444,720575940616048690,VC
720575940631199744,720575940648685444,720575940645593140,VC
720575940631199744,720575940639468160,720575940627174404,VD
720575940631199744,720575940639468160,720575940624923655,VD
720575940631199744,720575940639468160,720575940623246343,VD
720575940631199744,720575940639468160,720575940608431625,VD
720575940631199744,720575940639468160,720575940624299534,VD
720575940631199744,720575940639468160,720575940626805777,VD
720575940631199744,720575940639468160,720575940626848275,VD
720575940631199744,720575940639468160,720575940628814869,VD
720575940631199744,720575940639468160,720575940627949589,VD
720575940631199744,720575940639468160,720575940605154336,VD
720575940631199744,720575940648685444,720575940622368477,FL
720575940631199744,720575940648685444,720575940606739390,FL
720575940631199744,720575940648685444,720575940621096583,FL
720575940631199744,720575940620944006,720575940622368477,FL
720575940631199744,720575940629513478,720575940633095137,FL
720575940631199744,720575940629513478,720575940641706184,FL
720575940631199744,720575940629513478,720575940634754222,FL
720575940631199744,720575940627814281,720575940605318880,FL
720575940631199744,720575940627814281,720575940612752611,FL
720575940631199744,720575940627814281,720575940624339652,FL
720575940631199744,720575940618735105,720575940632614881,CR
720575940631199744,720575940618735105,720575940618780962,CR
720575940631199744,720575940618735105,720575940621371045,CR
720575940631199744,720575940618735105,720575940620884103,CR
720575940631199744,720575940618735105,720575940606574091,CR
720575940631199744,720575940618735105,720575940622920461,CR
720575940631199744,720575940618735105,720575940644775534,CR
720575940631199744,720575940618735105,720575940637662894,CR
720575940631199744,720575940618735105,720575940625694034,CR
720575940631199744,720575940618780962,720575940618735105,CR
